Tipo Titulo;Vencimento do Titulo;Mes Estoque;PU;Quantidade;Valor Estoque
Tesouro IPCA+;15/05/2029;01/02/2024; R$ 3.189,16 ;882.943; R$ 2.815.845.155,20 
Tesouro RendA+;15/12/2049;01/02/2024; R$ 1.805,92 ;327.168; R$ 590.837.930,22 
Tesouro RendA+;15/12/2054;01/02/2024; R$ 1.344,64 ;227.160; R$ 305.447.722,42 
Tesouro RendA+;15/12/2059;01/02/2024; R$ 1.007,25 ;209.202; R$ 210.719.338,03 
Tesouro RendA+;15/12/2064;01/02/2024; R$ 758,69 ;260.556; R$ 197.680.449,51 
Tesouro RendA+;15/12/2069;01/02/2024; R$ 571,42 ;152.716; R$ 87.264.318,84 
Tesouro RendA+;15/12/2074;01/02/2024; R$ 424,86 ;123.369; R$ 52.414.242,00 
Tesouro RendA+;15/12/2079;01/02/2024; R$ 325,94 ;99.478; R$ 32.423.719,34 
Tesouro RendA+;15/12/2084;01/02/2024; R$ 239,76 ;883.946; R$ 211.932.306,72 
Tesouro IPCA+ com Juros Semestrais;15/05/2055;01/03/2024; R$ 4.922,82 ;572.032; R$ 2.816.011.075,03 
Tesouro IPCA+ com Juros Semestrais;15/08/2026;01/03/2024; R$ 4.372,60 ;373.396; R$ 1.632.712.120,82 
Tesouro Prefixado com Juros Semestrais;01/01/2027;01/03/2024; R$ 994,58 ;202.345; R$ 201.248.874,19 
Tesouro IPCA+ com Juros Semestrais;15/05/2035;01/04/2024; R$ 4.536,47 ;447.359; R$ 2.029.431.993,42 
Tesouro IPCA+;15/05/2035;01/04/2024; R$ 2.409,39 ;6.353.391; R$ 15.307.810.971,57 
Tesouro Selic;01/03/2029;01/04/2023; R$ 13.023,12 ;353.043; R$ 4.597.720.872,83 
Tesouro IPCA+;15/05/2029;01/04/2023; R$ 2.885,78 ;324.412; R$ 936.181.566,54 
Tesouro Selic;01/03/2026;01/05/2023; R$ 13.265,07 ;476.827; R$ 6.325.142.391,90 
Tesouro IPCA+ com Juros Semestrais;15/08/2050;01/05/2023; R$ 4.632,86 ;294.474; R$ 1.364.258.948,83 
Tesouro Prefixado com Juros Semestrais;01/01/2029;01/06/2023; R$ 1.092,76 ;545.150; R$ 595.717.972,89 
Tesouro Prefixado;01/01/2025;01/06/2023; R$ 864,66 ;5.196.520; R$ 4.493.216.753,89 
Tesouro IPCA+ com Juros Semestrais;15/08/2026;01/06/2023; R$ 4.331,90 ;406.573; R$ 1.761.232.205,08 
Tesouro Prefixado com Juros Semestrais;01/01/2027;01/06/2023; R$ 1.012,68 ;218.067; R$ 220.832.395,63 
Tesouro IPCA+ com Juros Semestrais;15/08/2032;01/07/2023; R$ 4.285,74 ;364.564; R$ 1.562.422.909,02 
Tesouro IPCA+ com Juros Semestrais;15/05/2055;01/07/2023; R$ 4.774,84 ;547.866; R$ 2.615.970.008,59 
Tesouro IPCA+ com Juros Semestrais;15/08/2026;01/07/2023; R$ 4.350,46 ;403.034; R$ 1.753.380.406,89 
Tesouro Prefixado com Juros Semestrais;01/01/2027;01/07/2023; R$ 972,52 ;216.099; R$ 210.161.195,65 
Tesouro Prefixado com Juros Semestrais;01/01/2033;01/07/2023; R$ 879,75 ;1.354.619; R$ 1.191.722.965,85 
Tesouro IPCA+ com Juros Semestrais;15/08/2030;01/08/2023; R$ 4.596,71 ;368.591; R$ 1.694.304.596,74 
Tesouro IPCA+ com Juros Semestrais;15/08/2040;01/08/2023; R$ 4.586,55 ;314.584; R$ 1.442.858.801,65 
Tesouro IGPM+ com Juros Semestrais;01/01/2031;01/08/2023; R$ 7.035,31 ;6.776; R$ 47.670.928,93 
Tesouro IPCA+ com Juros Semestrais;15/05/2045;01/09/2023; R$ 4.105,78 ;30.836; R$ 126.604.471,37 
Tesouro Prefixado com Juros Semestrais;01/01/2025;01/09/2023; R$ 982,64 ;121.482; R$ 119.372.768,63 
Tesouro IPCA+;15/05/2045;01/10/2023; R$ 1.392,21 ;5.033.220; R$ 7.007.319.159,52 
Tesouro IPCA+;15/05/2035;01/12/2023; R$ 2.329,24 ;6.098.293; R$ 14.204.416.569,24 
Tesouro Prefixado com Juros Semestrais;01/01/2025;01/12/2023; R$ 1.014,62 ;117.609; R$ 119.327.735,37 
Tesouro Selic;01/03/2025;01/12/2023; R$ 14.267,22 ;849.836; R$ 12.124.794.569,02 
Tesouro Prefixado com Juros Semestrais;01/01/2029;01/01/2024; R$ 1.049,22 ;505.084; R$ 529.945.802,36 
